strategyId,eventName,rowIndex,timeH,pSourceAvailableMW,sourceRampMWPerH,pBessChargeMW,pBessDischargeMW,bessSOC,pCableSendMW,pElectrolyzerMW,pComputeFacilityMW,pCurtailmentMW,dynamicValidationStatus,requiredOutputs,formulaStatus
mix_E20_H80,MAX_ELECTROLYZER_LOAD,26,25,407.676280732512,18.0701401625028,0,0,0.46807487131395,0,100,20,266.186280732512,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E20_H80,MAX_COMPUTE_LOAD,13,12,171.700122098554,109.702647452263,0,0,0.46807487131395,0,0,20,130.210122098554,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E20_H80,MAX_CURTAILMENT,34,33,728.952592418705,32.5755656305126,0,0,0.46807487131395,0,100,20,587.462592418705,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_C20,MAX_BESS_DISCHARGE,37,36,24.5764345126825,-747.296548409235,0,62.3935923897537,0.483265839541094,45.8400269024362,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_C20,MAX_BESS_CHARGE,36,35,771.872982921918,12.5179812658437,75,0,0.89375,200,0,120,355.382982921918,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_C20,MIN_BESS_SOC,14,13,202.558440856409,30.8583187578548,0,38.9315591435912,0.10625,200,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_C20,MAX_SOURCE_RAMP_UP,31,30,651.122288275817,212.540241130385,0,-0,0.10625,200,0,118.412724132898,311.219564142919,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_C20,MAX_SOURCE_RAMP_DOWN,37,36,24.5764345126825,-747.296548409235,0,62.3935923897537,0.483265839541094,45.8400269024362,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_C20,MAX_CABLE_SEND,14,13,202.558440856409,30.8583187578548,0,38.9315591435912,0.10625,200,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_C20,MAX_ELECTROLYZER_LOAD,1,0,20.6135498942343,0,0,0.516450105765698,0.696602301935752,0,0,0,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_C20,MAX_COMPUTE_LOAD,23,22,344.455670968732,4.07146549894156,0,0,0.10625,200,0,120,3.32567096873231,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_C20,MAX_CURTAILMENT,33,32,696.377026788193,26.5195538894463,0,0,0.10625,200,0,22.85424,452.032786788193,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_C40,MAX_BESS_DISCHARGE,40,39,22.5330557572957,-1.32100675677876,0,59.5415842427042,0.10625,0,0,60.94464,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_C40,MAX_BESS_CHARGE,36,35,771.872982921918,12.5179812658437,75,0,0.89375,200,0,120,355.382982921918,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_C40,MIN_BESS_SOC,40,39,22.5330557572957,-1.32100675677876,0,59.5415842427042,0.10625,0,0,60.94464,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_C40,MAX_SOURCE_RAMP_UP,31,30,651.122288275817,212.540241130385,0,0,0.195603085202311,200,0,120,309.632288275817,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_C40,MAX_SOURCE_RAMP_DOWN,37,36,24.5764345126825,-747.296548409235,0,19.4078054873175,0.766067069162385,0,0,22.85424,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_C40,MAX_CABLE_SEND,19,18,323.861037341205,24.8231194621904,0,17.2689626587949,0.354396630508246,200,0,120,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_C40,MAX_ELECTROLYZER_LOAD,1,0,20.6135498942343,0,0,0.516450105765698,0.696602301935752,0,0,0,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_C40,MAX_COMPUTE_LOAD,13,12,171.700122098554,109.702647452263,0,0,0.468008226947686,0,0,120,30.2101220985541,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E60_C40,MAX_CURTAILMENT,34,33,728.952592418705,32.5755656305126,0,0,0.195603085202311,200,0,120,387.462592418705,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_C60,MAX_BESS_DISCHARGE,40,39,22.5330557572957,-1.32100675677876,0,59.5415842427042,0.10625,0,0,60.94464,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_C60,MAX_BESS_CHARGE,47,46,212.363406121039,9.33374108427569,75,0,0.7,0,0,20,95.8734061210385,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_C60,MIN_BESS_SOC,40,39,22.5330557572957,-1.32100675677876,0,59.5415842427042,0.10625,0,0,60.94464,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_C60,MAX_SOURCE_RAMP_UP,31,30,651.122288275817,212.540241130385,0,0,0.468033222913607,0,0,120,509.632288275817,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_C60,MAX_SOURCE_RAMP_DOWN,37,36,24.5764345126825,-747.296548409235,0,16.5535654873175,0.784844963899227,0,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E40_C60,MAX_CABLE_SEND,25,24,389.606140570009,41.0804901567916,0,0,0.468033222913607,200,0,120,48.1161405700091,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
