timeH,sourceAvailableMW,sourceActualMW,sourceAuxMW,collectionLossMW,bessChargeRequestedMW,bessChargeActualMW,bessDischargeRequestedMW,bessDischargeActualMW,electrolyzerRequestedMW,electrolyzerActualMW,bessSOC,bessEnergyMWh,h2ProductionKg,h2InventoryKg,h2StorageLossKg,waterConsumptionM3,electrolyzerOnlineModules,electrolyzerStartEvent,computeRequestedMW,dcFacilityActualMW,itPowerMW,dcAuxPowerMW,pue,computeServedMWhCS,computeQueueMWhCS,computeRigidUnservedMWhCS,computeFlexOverdueMWhCS,computeSpotDroppedMWhCS,computeGrossRevenueCNY,computeSLAPenaltyCNY,marineRequestedMW,marineActualMW,marineUnservedMW,exportInitialRequestedMW,exportFinalRequestedMW,exportSendActualMW,cableReceiveMW,cableLossMW,h2WithdrawnKg,h2DeliveredKg,h2PipeDeliveredKg,h2ShipDeliveredKg,computeReleasedMW,marineTopUpMW,exportTopUpMW,electrolyzerTopUpMW,spillMW,criticalUnservedMW,totalUnservedMW,busResidualMW,windAvailableMW,windActualMW,windAuxMW,windCollectionLossMW,pvAvailableMW,pvActualMW,pvAuxMW,pvCollectionLossMW,tidalAvailableMW,tidalActualMW,tidalAuxMW,tidalCollectionLossMW
30,440.992037026981,440.992037026981,2.68,8.9315956581995,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,199.862037026981,199.862037026981,199.862037026981,183.873074064823,15.9889629621585,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,2.8421709430404e-14,0,3.07920355879787e-13,0,0,0,427.81726891267,427.81726891267,2.4,8.73096467168715,13.174768114311,13.174768114311,0.16,0.200630986512351,0,0,0.12,0
31,80.5202614721871,42.4097223194053,1.39,0.769931690391981,0,0,0,0,0,0,0.9,144,0,0,0,0,0,0,22.5697223194053,22.5697223194053,20.970222972421,1.59949934698432,1.0762747896905,20.8546042463157,0,0,0,0,123982.66681339,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93574062229618e-14,46.2772058194485,8.16666666666667,0.75,0.166666666666667,26.3874598288489,26.3874598288489,0.16,0.401839489779425,7.8555958238897,7.8555958238897,0.48,0.20142553394589
32,695.874133976931,610.112292463422,3.04,12.3674399040652,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,1,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,200,200,200,184,16,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,0,0,168.622292463422,0,0,0,618.826695671714,533.156074447153,2.4,10.8807362132072,46.7253811542876,46.7253811542876,0.16,0.711554027730267,30.3220571509294,30.2308368619813,0.48,0.775149663127727
33,745.529145319778,739.518509370593,3.04,14.9448180340892,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,200,200,200,184,16,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,0,0,298.028509370593,0,0,0,643.349998221904,638.692921342484,2.4,13.0345494151527,64.8255880281088,64.8255880281088,0.16,0.987191695859524,37.353559069766,36,0.48,0.923076923076923
34,730.293006870663,729.290562344978,3.04,14.6363597597564,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,200,200,200,184,16,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,0,0,287.800562344978,0,0,0,627.060281792791,627.060281792791,2.4,12.7971486080161,76.1112694001934,75.1088248745076,0.16,1.14378921128692,27.1214556776788,27.1214556776788,0.48,0.695421940453303
35,714.843592062031,711.034156305716,2.86,14.1324307853863,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,200,200,200,184,16,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,0,0,269.724156305716,0,0,0,633.140852171073,632.131416414759,2.4,12.9006411513216,78.8,76,0.16,1.15736040609137,2.90273989095769,2.90273989095769,0.3,0.0744292279732742
36,529.028407333196,526.228407333196,2.68,10.345695249626,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,200,200,200,184,16,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,0,0,85.0984073331958,0,0,0,450.228407333196,450.228407333196,2.4,9.18833484353461,78.8,76,0.16,1.15736040609137,0,0,0.12,0
37,478.306086161198,477.390906048432,2.98,9.37681792992554,0,0,0,0,100,100,0.9,144,1761.4937466972,0,0,28.0077505724855,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,200,200,200,184,16,1761.4937466972,1726.26387176326,0,1726.26387176326,2.8421709430404e-14,0,0,0,35.9609060484322,0,0,0,397.904897375165,397.904897375165,2.4,8.12050810969724,75.9966221105117,75.0814419977457,0.16,1.14337221316364,4.40456667552142,4.40456667552142,0.42,0.112937607064652
38,10.3391472735451,10.3391472735451,0.304,0.206878836891334,0,0,3.01485272645492,3.01485272645492,0,0,0.880165442589112,140.826470814258,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,12.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,-4.44089209850063e-16,8.53639985297764,8.53639985297764,0.24,0.174212241897503,1.3020474064273,1.3020474064273,0.016,0.0198281330928015,0.500700014140143,0.500700014140143,0.048,0.0128384619010293
39,0,0,0.076,0,0,0,13.126,13.126,0,0,0.793810179431218,127.009628708995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,12.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,-2.22044604925031e-16,0,0,0.06,0,0,0,0.004,0,0,0,0.012,0
40,8.02073005747219,5.10692374200527,0.215,0.104687255282501,0,0,8.15807625799473,8.15807625799473,0,0,0.740138625102305,118.422180016369,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,12.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,-9.43689570931383e-16,7.37259610428586,4.47888505132967,0.165,0.091405817374075,0.271029182658164,0.271029182658164,0.011,0.00412734795926138,0.377104770528165,0.357009508017437,0.039,0.00915408994916506
41,13.4211356081686,13.1692174554711,0.304,0.268009134606442,0,0,0.184782544528924,0.184782544528924,0,0,0.738922950467246,118.227672074759,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,12.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,-4.44089209850063e-16,13.0309529912561,12.7790348385586,0.24,0.260796629358338,0.268153721382301,0.268153721382301,0.016,0.00408355920886753,0.122028895530195,0.122028895530195,0.048,0.00312894603923576
