timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
51,NORMAL,614.22463509098,271.526163657483,200,20,25.1496118123887,184,0,28.3755019093932,342.698471433497,0,63747.7509546966,6663.56889583769,-67075.3745901254,1,1,model_causal_reserve_1h_annual,0.81582833650603,0.081582833650603,0.102588829843367,1,614.22463509098,271.526163657483,342.698471433497,0,0,0.89375,20,58319.5349656508,0,200,30.3961636574825,0,0,550.27,63.9546350909795,0
52,NORMAL,604.000263851053,269.243641277597,200,20,23.1003165425542,184,0,26.2450508849936,334.756622573456,0,62682.5254424968,6617.91844823998,-66055.7995255233,1,1,model_causal_reserve_1h_annual,0.822705633807722,0.0822705633807722,0.0950238028115053,1,604.000263851053,269.243641277597,334.756622573456,0,0,0.89375,20,58671.8337149903,0,200,28.1136412775969,0,0,538.412,65.5882638510529,0
53,NORMAL,565.044069653882,268.652750565008,200,20,22.5698245179775,184,0,25.6937619703017,296.391319088874,0,62406.8809851509,6606.10063398819,-65791.9728824292,1,1,model_causal_reserve_1h_annual,0.8245048632798,0.08245048632798,0.0930446503922204,1,565.044069653882,268.652750565008,296.391319088874,0,0,0.89375,20,59024.1324643297,0,200,27.5227505650075,0,0,500.682,64.3620696538819,0
54,NORMAL,500.194953616334,270.305647196958,200,20,24.0538696708719,184,0,27.2371650910594,229.889306419376,0,63178.5825455297,6639.1585666272,-66530.616510169,1,1,model_causal_reserve_1h_annual,0.81949120605921,0.081949120605921,0.0985596733348691,1,500.194953616334,270.305647196958,229.889306419376,0,0,0.89375,20,59376.4312136692,0,200,29.1756471969581,0,0,448.938,51.2569536163339,0
55,NORMAL,426.62539213287,270.64569826112,200,20,24.3592045426781,184,0,27.5549742002339,155.97969387175,0,85417.487100117,6645.95958791044,-88762.720043473,1,1,model_causal_reserve_1h_annual,0.818467224814809,0.0818467224814808,0.0996860527037101,1,426.62539213287,270.64569826112,155.97969387175,0,0,0.89375,20,59728.7299630086,0,200,29.5156982611201,0,0,388.57,38.0553921328704,0
56,NORMAL,349.49903823979,271.592312599239,200,20,25.2091331489696,184,0,28.439068001023,77.906725640551,0,85859.5340005115,6664.89187467281,-89185.8346571052,1,1,model_causal_reserve_1h_annual,0.815630304759064,0.0815630304759064,0.10280666476503,1,349.49903823979,271.592312599239,77.906725640551,0,0,0.89375,20,60081.028712348,0,200,30.4623125992388,0,0,329.9464,19.5526382397899,0
57,NORMAL,273.096872913157,262.730717184769,200,20,16.4142925931254,184,0,20.1662990188565,10.3661557283882,0,81723.1495094282,6487.65996638341,-85226.6820743113,1,1,model_causal_reserve_1h_annual,0.845972541703325,0.0845972541703325,0.069430204126342,1,273.096872913157,262.730717184769,10.3661557283882,0,0,0.89375,20,60433.3274616875,0,200,21.6007171847687,0,0,271.852,1.24487291315695,0
58,NORMAL,227.164,227.164,165.258755626673,20,15.7092125397785,152.038055176539,0,19.3958901225689,0,0,69831.6449248385,5776.32562268804,-74046.511833417,1,1,model_causal_reserve_1h_annual,0.822313909696283,0.099518347040435,0.0781677432632815,1,227.164,227.164,0,0,0,0.89375,20,60785.6262110269,0,165.258755626673,20.775244373327,0,0,227.164,0,0
59,NORMAL,207.19725859082,207.19725859082,144.167118811015,20,16.3625979379244,132.633749306134,0,20.110257616689,0,0,63203.2785585526,5376.99079450444,-67817.4802953147,1,1,model_causal_reserve_1h_annual,0.798578324982953,0.110785084916595,0.0906365901004524,1,207.19725859082,207.19725859082,0,0,0,0.89375,20,61137.9249603664,0,144.167118811015,21.5401397798052,0,0,207.0544,0,0.142858590820011
60,NORMAL,213.767415331254,213.767415331254,151.011329133153,20,16.1285305550483,138.930422802501,0,19.8546497113091,0,0,65342.2770645548,5508.39392931311,-69825.0756665082,1,1,model_causal_reserve_1h_annual,0.806943691123617,0.106871940768378,0.0861843681080048,1,213.767415331254,213.767415331254,0,0,0,0.89375,20,61490.2237097058,0,151.011329133153,21.266086198101,0,0,210.406,0,3.36141533125378
61,NORMAL,242.041027758567,242.041027758567,179.355562386915,20,16.0682322509321,165.007117395961,0,19.7889685680434,0,0,74697.0465465678,6073.86617785937,-78614.3728999749,1,1,model_causal_reserve_1h_annual,0.832570806249295,0.0928402548735268,0.0745889388771782,1,242.041027758567,242.041027758567,0,0,0,0.89375,20,61842.5224590452,0,179.355562386915,21.1954653716519,0,0,237.2188,0,4.82222775856656
62,NORMAL,266.046270774166,262.515423615742,200,20,15.9230103513464,184,0,19.6304610461497,3.53084715842425,0,81455.2305230748,6483.35409500288,-84963.0689593385,1,1,model_causal_reserve_1h_annual,0.847734181172712,0.0847734181172712,0.0674924007100164,1,266.046270774166,262.515423615742,3.53084715842425,0,0,0.89375,20,62194.8212083847,0,200,21.0254236157422,0,0,259.5628,0,6.48347077416645
