scenarioId,phase,startH,endH,eAvailableMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,eBessChargeMWh,eBessDischargeMWh,ensMWh,cableActiveHours,hydrogenActiveHours,computeActiveHours
mix_H60_C40,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-7.105427357601e-15,0,15.312141343284,0,0,0,0
mix_H60_C40,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,40.9060042265202,0,19.9353157862095,0,0,0,0
mix_H60_C40,P3_COMPUTE_START,12,18,1394.7460423458,0,0,669.144981412639,545.806042345804,0,0,0,0,0,6
mix_H60_C40,P4_CABLE_SATURATION,18,24,2016.09573983665,0,0,669.144981412639,1169.31573983665,0,0,0,0,0,6
mix_H60_C40,P5_ELECTROLYSIS_START,24,30,2529.7022336105,0,10638,669.144981412639,1067.6462336105,0,0,0,0,6,6
mix_H60_C40,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,0,10638,669.144981412639,2742.73866711293,72.7395646864194,0,0,0,6,6
mix_H60_C40,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,0.0546385151292327,117.83459749297,0,0,120.65,0,0,0,4
mix_H60_C40,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,0,148.698884758364,928.269151887982,100,0,0,0,0,8
mix_H40_C60,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-7.105427357601e-15,0,15.312141343284,0,0,0,0
mix_H40_C60,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,40.9060042265202,0,19.9353157862095,0,0,0,0
mix_H40_C60,P3_COMPUTE_START,12,18,1394.7460423458,0,0,669.144981412639,545.806042345804,0,0,0,0,0,6
mix_H40_C60,P4_CABLE_SATURATION,18,24,2016.09573983665,0,0,669.144981412639,1169.31573983665,0,0,0,0,0,6
mix_H40_C60,P5_ELECTROLYSIS_START,24,30,2529.7022336105,0,10638,669.144981412639,1033.19376711707,0,0,0,0,6,6
mix_H40_C60,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,0,10638,669.144981412639,2777.19113360637,72.7395646864194,0,0,0,6,6
