timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
30,NORMAL,245.498425362548,245.498425362548,194.78144709846,-8.88178419700125e-15,24.0999046294734,179.198931330583,0,27.2843957494351,0,0,62049.9413940575,4909.96850725096,-57139.9728868065,1,1,model_causal_myopic_1h_annual,0.889895121538589,-4.0578076327129e-17,0.110104878461411,1,245.498425362548,245.498425362548,0,0,0,0.89375,-8.88178419700125e-15,4.69356219675951e-14,0,194.78144709846,29.2269782640881,0,0,201.4684,27.6256970268215,16.4043283357266
31,NORMAL,227.567149061079,227.567149061079,177.409515872744,-4.44089209850063e-15,23.5977014483226,163.216754602924,0,26.7621515149911,0,0,77539.1074145483,4551.34298122157,-72987.7644333268,1,1,model_causal_myopic_1h_annual,0.882602715649606,-2.20931972378248e-17,0.117397284350394,1,227.567149061079,227.567149061079,0,0,0,0.89375,-4.44089209850063e-15,-3.12904146450635e-14,0,177.409515872744,28.6676331883348,0,0,188.062,19.9184335592244,19.5867155018544
32,NORMAL,210.504552293024,210.504552293024,159.855098451693,-5.32907051820075e-15,24.0392674097697,147.066690575557,0,27.2212042532198,0,0,71954.6107338105,4210.09104586048,-67744.5196879501,1,1,model_causal_myopic_1h_annual,0.869276759529002,-2.89789765620956e-17,0.130723240470999,1,210.504552293024,210.504552293024,0,0,0,0.89375,-5.32907051820075e-15,-9.38712439351903e-14,0,159.855098451693,29.1594538413314,0,0,176.89,10.8799189487503,22.7346333442739
33,NORMAL,166.719249642899,166.719249642899,124.688458086498,-1.59872115546023e-14,15.5087824257549,114.713381439578,0,19.1753759342978,0,0,56284.505285397,3334.38499285798,-52950.120292539,1,1,model_causal_myopic_1h_annual,0.88937883249992,-1.14033710622179e-16,0.11062116750008,1,166.719249642899,166.719249642899,0,0,0,0.89375,-1.59872115546023e-14,-2.81613731805571e-13,0,124.688458086498,20.5407915564013,0,0,139.552,1.18358973690297,25.9836599059962
34,NORMAL,136.9747898688,136.9747898688,94.6141729204093,-1.4210854715202e-14,15.7905073709991,87.0450390867766,0,19.4832212125076,0,0,46477.8246774933,2739.495797376,-43738.3288801173,1,1,model_causal_myopic_1h_annual,0.856976105276328,-1.28716053320322e-16,0.143023894723673,1,136.9747898688,136.9747898688,0,0,0,0.89375,-1.4210854715202e-14,-2.50323317160507e-13,0,94.6141729204093,20.8706169483909,0,0,107.8,0,29.1747898688002
35,NORMAL,109.9267898688,109.9267898688,67.7087727856007,9.76996261670138e-15,15.6686957112733,62.2920709627526,0,19.3500456909544,0,0,37500.1683920682,2198.535797376,-35301.6325946922,1,1,model_causal_myopic_1h_annual,0.812075180576383,1.17177491627341e-16,0.187924819423617,1,109.9267898688,109.9267898688,0,0,0,0.89375,9.76996261670138e-15,1.72097280547849e-13,0,67.7087727856007,20.7280170831995,0,0,80.752,0,29.1747898688002
36,NORMAL,44.884,44.884,3.12503819309157,1.77635683940025e-15,15.5840790765309,2.87503513764424,0,19.2575206141665,0,0,16063.7729566352,897.680000000001,-15166.0929566352,1,1,model_causal_myopic_1h_annual,0.16703290422823,9.49460529751705e-17,0.83296709577177,1,44.884,44.884,0,0,0,0.89375,1.77635683940025e-15,2.03387695192912e-13,0,3.12503819309157,20.6289618069085,0,0,44.884,0,0
37,NORMAL,28.3808,28.3808,0,8.88178419700125e-16,16.9811294315886,0,0,20.7842721684675,0,0,15792.1360842337,1018.02717226013,-9290.15534094684,1,1,model_causal_myopic_1h_annual,0,5.2303848414695e-17,1,1,28.3808,28.3808,0,0,15.0137057420042,0.794975620118394,8.88178419700125e-16,2.19032902515444e-13,0,0,22.2645057420042,0,0,28.3808,0,0
38,NORMAL,31.2032,31.2032,0,-8.88178419700125e-16,16.3301919860683,0,0,20.0728300104795,0,0,15436.4150052398,966.941700917706,-10294.7869106925,1,1,model_causal_myopic_1h_annual,0,-5.43887310362212e-17,1,1,31.2032,31.2032,0,0,11.4292566972569,0.719783141846967,-8.88178419700125e-16,2.03387695192912e-13,0,0,21.5024566972569,0,0,31.2032,0,0
39,NORMAL,88.396,88.396,45.963359773918,0,16.1595064006129,42.2862909920046,0,19.8862420144398,0,0,30566.1857643415,1767.92,-28798.2657643415,1,1,model_causal_myopic_1h_annual,0.739878286439431,0,0.260121713560569,1,88.396,88.396,0,0,0,0.719783141846967,0,2.03387695192912e-13,0,45.963359773918,21.302640226082,0,0,88.396,0,0
